id,year,games,age,team,assists,steals,blocks,personal_fouls,ofensive_rebounds,defensive_rebounds,points_per_game
1,1990-91,43,22,POR,0.3,0.1,0.3,0.9,0.6,1.4,3.1
1,1991-92,71,23,POR,0.4,0.4,0.2,1.9,1.1,2.5,6.1
1,1992-93,75,24,TOT,0.4,0.3,0.3,2.5,1.7,2.8,7.7
1,1992-93,12,24,MIL,0.8,0.5,0.3,2.0,1.0,2.1,5.3
1,1992-93,63,24,BOS,0.3,0.3,0.3,2.6,1.8,3.0,8.2
1,1993-94,13,25,BOS,0.2,0.2,0.2,1.5,0.9,2.6,4.9
1,1994-95,54,26,TOT,0.2,0.3,0.2,1.9,0.7,1.4,4.7
1,1994-95,51,26,SAC,0.3,0.3,0.2,2.0,0.7,1.4,5.0
1,1994-95,3,26,PHI,0.0,0.0,0.0,0.7,1.0,1.7,0.7
2,1968-69,49,22,TOT,0.8,,,2.3,,,7.3
2,1968-69,20,22,CIN,0.2,,,0.9,,,1.9
2,1968-69,29,22,MIL,1.1,,,3.4,,,11.0
2,1969-70,80,23,MIL,0.8,,,2.1,,,7.4
2,1970-71,61,24,SEA,0.7,,,1.9,,,10.9
2,1971-72,58,25,SEA,2.1,,,3.1,,,13.8
2,1972-73,48,26,HOU,1.1,,,2.3,,,8.7
2,1973-74,79,27,HOU,2.1,1.0,1.3,2.9,3.3,8.4,10.9
2,1974-75,65,28,HOU,1.3,0.6,1.1,2.0,2.4,5.1,9.7
2,1975-76,27,29,SEA,0.6,0.3,0.6,1.1,1.1,1.7,3.2
2,1976-77,22,30,BUF,0.3,0.1,0.4,1.0,1.9,2.2,3.8
2,1977-78,16,31,TOT,0.6,0.2,0.2,1.8,1.2,1.9,3.9
2,1977-78,2,31,BOS,1.5,0.5,0.5,2.0,3.0,4.5,4.0
2,1977-78,14,31,HOU,0.5,0.1,0.1,1.8,0.9,1.6,3.9
3,1969-70,82,22,MIL,4.1,,,3.5,,,28.8
3,1970-71,82,23,MIL,3.3,,,3.2,,,31.7
3,1971-72,81,24,MIL,4.6,,,2.9,,,34.8
3,1972-73,76,25,MIL,5.0,,,2.7,,,30.2
3,1973-74,81,26,MIL,4.8,1.4,3.5,2.9,3.5,11.0,27.0
